Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.003          87.982        3824.340   10000   30000
1.012          26.501        2690.753   10000   30000
1.017          23.242          27.705   10000   30000
1.018          18.049         409.889   10000   30000
1.028          89.823          75.144   10000   30000
1.029          76.830        1351.216   10000   30000
1.038          29.875         564.350   10000   30000
1.051          45.574        4571.514   10000   30000
1.062          31.520         375.105   10000   30000
1.081          53.452         599.317   10001   30001
1.084          62.203         143.975   10000   30000
1.097          39.593        1229.928   10000   30000
1.110          22.230        1526.466   10001   30001
1.121          90.227         389.285   10000   30000
1.161          98.970         592.939   10000   30000
1.168          86.120         668.349   10000   30000
1.187          40.431        1239.318   10000   30000
1.194          65.385        2505.114   10000   30000
1.196          10.682         643.074   10000   30000
1.199          95.546          36.532   10000   30000
1.245          30.420         334.932   10000   30000
1.254          32.214          14.839   10001   30001
1.261          68.280         486.167   10000   30000
1.270          72.114         890.138   10000   30000
1.275          71.270        1431.840   10000   30000
1.281          41.348        2243.547   10000   30000
1.286          48.044         380.792   10000   30000
1.288          71.964         904.776   10000   30000
1.292          81.176        1313.974   10000   30000
1.305          13.009        1078.787   10000   30000
1.309          98.537        1962.546   10000   30000
1.310          65.320         919.115   10000   30000
1.317          60.160         393.111   10000   30000
1.320          60.269         445.678   10000   30000
1.331          62.867        1883.387   10000   30000
1.344          23.412        1177.625   10000   30000
1.397          56.005        1190.659   10000   30000
1.410          13.576         607.382   10000   30000
1.418          69.126        1542.620   10000   30000
1.429          71.813        2048.286   10000   30000
1.467          81.906          83.602   10000   30000
1.486          78.157          19.841   10000   30000
1.522          66.986         331.855   10001   30001
1.537          34.706        1874.478   10000   30000
1.544          54.276         211.484   10000   30000
1.562          29.303         143.879   10000   30000
1.575          59.936          37.614   10001   30001
1.577          34.672         932.313   10000   30000
1.620          94.987         221.618   10000   30000
1.635          99.797        3319.780   10000   30000
1.675          51.774        2026.980   10000   30000
1.704          94.014        1164.212   10000   30000
1.735          89.057         176.545   10001   30001
1.754          89.777          11.866   10000   30000
1.779          19.552         334.192   10001   30001
1.785          50.157        1340.102   10000   30000
1.785          46.471         357.244   10000   30000
1.802          19.250        2139.679   10000   30000
1.818          61.830        1885.607   10001   30001
1.834          26.782         328.971   10000   30000
1.835          92.367         150.561   10001   30001
1.844          43.251        6411.903   10000   30000
1.897          28.378         548.285   10000   30000
1.907          52.923         178.835   10000   30000
1.940          92.257          89.673   10000   30000
1.954          72.259        2513.976   10000   30000
1.980          68.675          60.484   10000   30000
1.994          59.141         429.743   10002   30002
2.002          90.233        1087.917   10000   30000
2.010          72.532        1042.704   10001   30001
2.016          26.908         200.614   10000   30000
2.025          60.142        1186.113   10002   30002
2.029          93.198         312.612   10001   30001
2.033          30.107         641.688   10001   30001
2.037          25.946         589.695   10001   30001
2.038          23.473         491.136   10001   30001
2.049          53.440         867.906   10001   30001
2.058          49.735         184.448   10000   30000
2.060          55.347          26.811   10000   30000
2.076          28.310        2335.530   10000   30000
2.082           5.273           1.494   10001   30001
2.091          81.558         758.456   10000   30000
2.098          12.376          42.431   10000   30000
